RawData,FilteredData(graus/s),FilteredData(rad/s),Angles(rad)
-0.426829,-0.464544,-0.00810782,-0.00908064
-0.426829,-0.457001,-0.00797617,-0.00912052
-0.426829,-0.450967,-0.00787085,-0.00915987
-0.426829,-0.446139,-0.0077866,-0.00919881
-0.304878,-0.417887,-0.0072935,-0.00923527
-0.304878,-0.395285,-0.00689903,-0.00926977
-0.304878,-0.377204,-0.00658345,-0.00930269
-0.304878,-0.362739,-0.00633098,-0.00933434
-0.0609756,-0.302386,-0.00527763,-0.00936073
-0.0609756,-0.254104,-0.00443495,-0.0093829
-0.487805,-0.300844,-0.00525072,-0.00940916
-0.487805,-0.338236,-0.00590334,-0.00943868
-0.487805,-0.36815,-0.00642543,-0.0094708
-0.487805,-0.392081,-0.0068431,-0.00950502
-0.54878,-0.423421,-0.00739009,-0.00954197
-0.54878,-0.448493,-0.00782768,-0.00958111
-0.54878,-0.46855,-0.00817775,-0.009622
-0.487805,-0.472401,-0.00824496,-0.00966322
-0.487805,-0.475482,-0.00829873,-0.00970471
-0.487805,-0.477947,-0.00834174,-0.00974642
-0.487805,-0.479918,-0.00837615,-0.0097883
-0.426829,-0.4693,-0.00819084,-0.00982926
-0.426829,-0.460806,-0.00804259,-0.00986947
-0.426829,-0.454011,-0.00792398,-0.00990909
-0.670732,-0.497355,-0.00868048,-0.00995249
-0.670732,-0.53203,-0.00928568,-0.00999892
-0.670732,-0.559771,-0.00976984,-0.0100478
-0.670732,-0.581963,-0.0101572,-0.0100986
-0.670732,-0.599717,-0.010467,-0.0101509
-0.670732,-0.61392,-0.0107149,-0.0102045
-0.304878,-0.552111,-0.00963616,-0.0102526
-0.304878,-0.502665,-0.00877315,-0.0102965
-0.304878,-0.463107,-0.00808275,-0.0103369
-0.304878,-0.431461,-0.00753042,-0.0103746
-0.243902,-0.39395,-0.00687572,-0.010409
-0.243902,-0.36394,-0.00635196,-0.0104407
-0.243902,-0.339933,-0.00593294,-0.0104704
-0.426829,-0.357312,-0.00623627,-0.0105016
-0.426829,-0.371215,-0.00647893,-0.010534
-0.426829,-0.382338,-0.00667306,-0.0105673
-0.426829,-0.391236,-0.00682836,-0.0106015
-0.609756,-0.43494,-0.00759114,-0.0106394
-0.609756,-0.469904,-0.00820136,-0.0106804
-0.609756,-0.497874,-0.00868954,-0.0107239
-0.487805,-0.49586,-0.00865439,-0.0107671
-0.487805,-0.494249,-0.00862627,-0.0108103
-0.487805,-0.49296,-0.00860378,-0.0108533
-0.304878,-0.455344,-0.00794725,-0.010893
-0.304878,-0.425251,-0.00742202,-0.0109301
-0.304878,-0.401176,-0.00700184,-0.0109652
-0.426829,-0.406307,-0.00709139,-0.0110006
-0.426829,-0.410411,-0.00716303,-0.0110364
-0.426829,-0.413695,-0.00722034,-0.0110725
-0.731707,-0.477297,-0.00833041,-0.0111142
-0.731707,-0.528179,-0.00921847,-0.0111603
-0.731707,-0.568885,-0.00992892,-0.0112099
-0.731707,-0.601449,-0.0104973,-0.0112624
-0.609756,-0.603111,-0.0105263,-0.011315
-0.609756,-0.60444,-0.0105495,-0.0113678
-0.609756,-0.605503,-0.010568,-0.0114206
-0.487805,-0.581963,-0.0101572,-0.0114714
-0.487805,-0.563132,-0.0098285,-0.0115205
-0.487805,-0.548066,-0.00956556,-0.0115684
-0.487805,-0.536014,-0.00935521,-0.0116152
-0.487805,-0.526372,-0.00918693,-0.0116611
-0.487805,-0.518659,-0.0090523,-0.0117063
-0.487805,-0.512488,-0.0089446,-0.0117511
-0.426829,-0.495356,-0.0086456,-0.0117943
-0.426829,-0.481651,-0.00840639,-0.0118363
-0.426829,-0.470687,-0.00821503,-0.0118774
-0.609756,-0.4985,-0.00870047,-0.0119209
-0.609756,-0.520752,-0.00908883,-0.0119664
-0.609756,-0.538552,-0.00939951,-0.0120134
-0.304878,-0.491818,-0.00858384,-0.0120563
-0.304878,-0.45443,-0.00793129,-0.0120959
-0.304878,-0.424519,-0.00740926,-0.012133
-0.304878,-0.400591,-0.00699163,-0.0121679
-0.487805,-0.418034,-0.00729607,-0.0122044
-0.487805,-0.431988,-0.00753961,-0.0122421
-0.487805,-0.443151,-0.00773445,-0.0122808
-0.670732,-0.488667,-0.00852886,-0.0123234
-0.670732,-0.52508,-0.00916438,-0.0123692
-0.670732,-0.554211,-0.0096728,-0.0124176
-0.365854,-0.516539,-0.00901531,-0.0124627
-0.365854,-0.486402,-0.00848932,-0.0125051
-0.365854,-0.462292,-0.00806852,-0.0125455
-0.365854,-0.443005,-0.00773189,-0.0125841
-0.487805,-0.451965,-0.00788827,-0.0126236
-0.487805,-0.459133,-0.00801338,-0.0126636
-0.487805,-0.464867,-0.00811346,-0.0127042
-0.487805,-0.469455,-0.00819353,-0.0127452
-0.487805,-0.473125,-0.00825758,-0.0127865
-0.487805,-0.476061,-0.00830883,-0.012828
-0.487805,-0.47841,-0.00834982,-0.0128698
-0.487805,-0.480289,-0.00838262,-0.0129117
-0.487805,-0.481792,-0.00840885,-0.0129537
-0.365854,-0.458604,-0.00800415,-0.0129937
-0.365854,-0.440054,-0.00768039,-0.0130321
-0.670732,-0.48619,-0.00848561,-0.0130746
-0.670732,-0.523098,-0.00912978,-0.0131202
-0.670732,-0.552625,-0.00964512,-0.0131684
-0.670732,-0.576246,-0.0100574,-0.0132187
-0.670732,-0.595143,-0.0103872,-0.0132707
-0.365854,-0.549285,-0.00958684,-0.0133186
-0.365854,-0.512599,-0.00894654,-0.0133633
-0.426829,-0.495445,-0.00864715,-0.0134066
-0.426829,-0.481722,-0.00840763,-0.0134486
-0.426829,-0.470743,-0.00821602,-0.0134897
-0.426829,-0.461961,-0.00806273,-0.01353
-0.365854,-0.442739,-0.00772726,-0.0135686
-0.365854,-0.427362,-0.00745888,-0.0136059
-0.365854,-0.41506,-0.00724417,-0.0136422
-0.426829,-0.417414,-0.00728525,-0.0136786
-0.426829,-0.419297,-0.00731812,-0.0137152
-0.426829,-0.420804,-0.00734441,-0.0137519
-0.426829,-0.422009,-0.00736544,-0.0137887
-0.365854,-0.410778,-0.00716942,-0.0138246
-0.365854,-0.401793,-0.00701261,-0.0138596
-0.54878,-0.43119,-0.00752569,-0.0138973
-0.54878,-0.454708,-0.00793616,-0.0139369
-0.54878,-0.473523,-0.00826453,-0.0139783
-0.54878,-0.488574,-0.00852723,-0.0140209
-0.54878,-0.500616,-0.00873739,-0.0140646
-0.487805,-0.498053,-0.00869267,-0.014108
-0.487805,-0.496004,-0.0086569,-0.0141513
-0.54878,-0.506559,-0.00884112,-0.0141955
-0.54878,-0.515003,-0.0089885,-0.0142405
-0.54878,-0.521759,-0.00910641,-0.014286
-0.54878,-0.527163,-0.00920073,-0.014332
-0.487805,-0.519291,-0.00906335,-0.0143773
-0.487805,-0.512994,-0.00895344,-0.0144221
-0.487805,-0.507956,-0.00886551,-0.0144664
-0.304878,-0.467341,-0.00815663,-0.0145072
-0.304878,-0.434848,-0.00758953,-0.0145452
-0.304878,-0.408854,-0.00713585,-0.0145808
-0.365854,-0.400254,-0.00698575,-0.0146158
-0.365854,-0.393374,-0.00686567,-0.0146501
-0.365854,-0.38787,-0.00676961,-0.0146839
-0.365854,-0.383467,-0.00669276,-0.0147174
-0.426829,-0.392139,-0.00684412,-0.0147516
-0.426829,-0.399077,-0.00696521,-0.0147865
-0.426829,-0.404628,-0.00706208,-0.0148218
-0.243902,-0.372483,-0.00650105,-0.0148543
-0.243902,-0.346767,-0.00605222,-0.0148845
-0.243902,-0.326194,-0.00569315,-0.014913
-0.365854,-0.334126,-0.00583159,-0.0149422
-0.365854,-0.340471,-0.00594235,-0.0149719
-0.365854,-0.345548,-0.00603095,-0.015002
-0.365854,-0.349609,-0.00610183,-0.0150325
-0.54878,-0.389443,-0.00679707,-0.0150665
-0.54878,-0.421311,-0.00735326,-0.0151033
-0.304878,-0.398024,-0.00694683,-0.015138
-0.304878,-0.379395,-0.00662169,-0.0151711
-0.304878,-0.364492,-0.00636158,-0.0152029
-0.304878,-0.352569,-0.00615349,-0.0152337
-0.304878,-0.343031,-0.00598702,-0.0152636
-0.365854,-0.347595,-0.00606668,-0.015294
-0.365854,-0.351247,-0.00613042,-0.0153246
